Gene	Chr	Start	End	SNP	Pvalue
LIPC	15	58702768	58861151	rs11854073	4.406E-08
CENPL	1	173768688	173793858	rs61828917	8.413E-10
CENPE	4	104026963	104119566	rs13107325	4.671E-23
ZG16	16	29789561	29793096	rs3814883	2.791E-16
REV3L	6	111620234	111804918	rs9487653	4.072E-08
MEF2B	19	19256377	19303400	rs1858999	2.982E-15
AC005477.1	14	72456191	72458326	rs2190864	2.008E-18
C16orf96	16	4606491	4650715	rs8048039	1.05E-08
C16orf92	16	30034655	30039057	rs3814883	2.791E-16
EID3	12	104697517	104698980	rs10861176	3.453E-09
SLC9B1	4	103806205	103940896	rs13107325	4.671E-23
SLC9B2	4	103941025	104006986	rs13107325	4.671E-23
RRAD	16	66955582	66959547	rs77463171	8.688E-09
RRAS	19	50138549	50143458	rs2304205	3.469E-15
ARFGAP2	11	47185848	47198676	rs12285419	1.071E-16
CNTN4	3	2140497	3099645	rs17194490	9.291E-13
C16orf3	16	90095316	90096309	rs11076631	7.285E-10
LAMB2	3	49158547	49170551	rs2710323	6.552E-21
MPHOSPH9	12	123636867	123728561	rs2102949	3.34E-23
NEK4	3	52744800	52804965	rs2710323	6.552E-21
NEK1	4	170314426	170533780	rs61405217	2.238E-11
DENR	12	123237321	123255611	rs2102949	3.34E-23
ZNF165	6	28048753	28057341	rs13195636	2.901E-41
HSBP1L1	18	77724561	77730822	rs72980087	1.015E-16
ADAL	15	43622872	43646096	rs2929278	1.592E-12
SF3A2	19	2236520	2248678	rs144821294	1.448E-08
TXNRD1	12	104609557	104744061	rs10861176	3.453E-09
ZNF184	6	27418522	27440897	rs13195636	2.901E-41
RPP21	6	30312908	30314661	rs13195636	2.901E-41
ASTN1	1	176826438	177134109	rs16851048	2.002E-12
ECSIT	19	11616731	11639989	rs72986630	2.625E-10
HYKK	15	78799906	78829714	rs2456020	6.32E-16
COX7A1	19	36641824	36643771	rs3810450	2.294E-09
JTB	1	153946745	153950164	rs10127983	1.18E-08
WBP2NL	22	42394729	42454460	rs5751191	2.181E-14
DNAH1	3	52350335	52434507	rs2710323	6.552E-21
AC126614.1	12	57810198	57810536	rs61937595	3.074E-15
TGM5	15	43524793	43559055	rs2929278	1.592E-12
MYBPC3	11	47352957	47374253	rs12285419	1.071E-16
MYBPC2	19	50936160	50969578	rs2387414	2.048E-10
RP11-133K1.2	15	40509629	40568597	rs56205728	1.247E-11
TMEM131	2	98372799	98612388	rs7575796	2.921E-08
TRPC4	13	38210773	38444562	rs1924377	5.249E-09
ADSL	22	40742507	40786467	rs5751191	2.181E-14
AS3MT	10	104629273	104661656	rs79668541	2.389E-24
RACGAP1	12	50370706	50426919	rs578470	4.537E-09
NAE1	16	66836778	66907159	rs77463171	8.688E-09
ZNF439	19	11959541	11994565	rs72986630	2.625E-10
PUS7	7	105080108	105162714	rs2252074	1.579E-14
AMBRA1	11	46417964	46615675	rs12285419	1.071E-16
C9orf129	9	96080481	96108696	rs6479487	1.016E-08
TMEM9	1	201103900	201140702	rs12126806	2.838E-08
HSP90B1	12	104323885	104347423	rs10861176	3.453E-09
TM6SF1	15	83776159	83813606	rs4779050	5.036E-09
CNNM3	2	97481982	97499648	rs7575796	2.921E-08
CNNM2	10	104678050	104849978	rs79668541	2.389E-24
CNNM4	2	97426639	97477628	rs7575796	2.921E-08
ARNT	1	150782181	150849244	rs12138231	1.809E-09
GDPD3	16	30116131	30125177	rs3814883	2.791E-16
CRHR1	17	43699267	43913194	rs2532240	8.299E-11
STAB1	3	52529354	52558511	rs2710323	6.552E-21
PHF13	1	6673745	6684093	rs11122119	8.494E-09
ARHGAP44	17	12692856	12894960	rs73292401	6.339E-10
HDGFRP3	15	83784320	83876770	rs4779050	5.036E-09
ARHGAP40	20	37230577	37279678	rs6065094	5.725E-16
C6orf100	6	28911654	28912314	rs13195636	2.901E-41
NDUFS3	11	47586888	47606114	rs12285419	1.071E-16
UCN	2	27530268	27531313	rs12474906	1.155E-08
AQP10	1	154293566	154297801	rs10127983	1.18E-08
YWHAE	17	1247566	1303672	rs3752827	1.446E-10
MAPT	17	43971748	44105700	rs2532240	8.299E-11
CHRM4	11	46406640	46408107	rs12285419	1.071E-16
SYNGAP1	6	33387847	33421466	rs13195636	2.901E-41
MGAT3	22	39853349	39888199	rs732381	3.356E-13
MGAT5	2	134877554	135212192	rs6430492	1.765E-10
CCNB2	15	59397277	59417244	rs11854073	4.406E-08
XXcos-LUCA11.5	3	50388323	50405354	rs2710323	6.552E-21
LRP4	11	46878419	46940193	rs12285419	1.071E-16
FIBP	11	65651212	65656010	rs58950470	1.604E-09
SATB2	2	200134223	200335989	rs1658810	1.388E-16
PCCB	3	135969148	136056738	rs7432375	1.837E-14
OR10C1	6	29407083	29408731	rs13195636	2.901E-41
LRRC16A	6	25279306	25620758	rs13195636	2.901E-41
KIAA1919	6	111580551	111592370	rs9487653	4.072E-08
FAM124B	2	225243415	225266802	rs72974269	3.651E-10
CTD-2330K9.3	3	49941278	49954370	rs2710323	6.552E-21
SERPINC1	1	173872947	173886516	rs61828917	8.413E-10
ENSA	1	150573327	150602088	rs12138231	1.809E-09
ANKRD45	1	173578700	173639001	rs61828917	8.413E-10
ANKRD44	2	197831741	198175897	rs2914983	2.058E-14
VRK2	2	58134786	58387055	rs2717003	1.912E-21
LRRC4	7	127667124	127672160	rs35045093	2.021E-08
TM6SF2	19	19375173	19384200	rs1858999	2.982E-15
SHMT2	12	57623110	57628718	rs61937595	3.074E-15
MORN1	1	2252692	2323146	rs6673880	1.503E-12
LIMA1	12	50569571	50677329	rs578470	4.537E-09
RNF180	5	63461671	63668696	rs7378757	4.389E-08
KIF22	16	29802040	29816706	rs3814883	2.791E-16
JKAMP	14	59951161	59972128	rs113239787	3.777E-08
RAB42	1	28918712	28921955	rs61786047	2.458E-08
RBX1	22	41347351	41369313	rs5751191	2.181E-14
NR1H3	11	47269851	47290396	rs12285419	1.071E-16
GBF1	10	104005289	104142656	rs79668541	2.389E-24
RRP9	3	51967446	51975957	rs2710323	6.552E-21
CTSW	11	65647280	65651212	rs58950470	1.604E-09
DOCK6	19	11309971	11373157	rs322128	2.606E-09
MED27	9	134735494	134955295	rs72761691	1.668E-08
XRCC3	14	104163946	104181841	rs10873538	1.702E-14
SEPT1	16	30389454	30407312	rs3814883	2.791E-16
SEPT3	22	42372276	42394225	rs5751191	2.181E-14
XRCC6	22	42017123	42060044	rs5751191	2.181E-14
KANSL1	17	44107282	44302733	rs2532240	8.299E-11
UBAP2L	1	154192655	154243986	rs10127983	1.18E-08
SUPT7L	2	27873679	27886676	rs12474906	1.155E-08
PCDHAC2	5	140345820	140391936	rs10069930	1.726E-10
PCDHAC1	5	140306302	140391929	rs10069930	1.726E-10
PLCB2	15	40570377	40600136	rs56205728	1.247E-11
PARP8	5	49961733	50142356	rs8175378	6.621E-10
RP11-347C12.1	16	30234258	30265831	rs3814883	2.791E-16
RALGPS1	9	129677053	129985445	rs3739554	3.97E-09
DNAJC5G	2	27498289	27504367	rs12474906	1.155E-08
PARP3	3	51976361	51982883	rs2710323	6.552E-21
LGSN	6	63985856	64029882	rs9341835	1.156E-08
MRPS21	1	150266289	150281414	rs12138231	1.809E-09
PHF7	3	52444673	52457657	rs2710323	6.552E-21
TIE1	1	43766664	43788779	rs11210892	1.415E-16
PHF2	9	96338689	96441869	rs6479487	1.016E-08
PHF3	6	64345725	64489229	rs9341835	1.156E-08
MSMO1	4	166248775	166264312	rs7699241	2.114E-08
LCMT2	15	43619974	43622803	rs2929278	1.592E-12
SMIM17	19	57154513	57167134	rs758749	1.424E-08
SMIM15	5	60453536	60458301	rs7701440	1.696E-17
ACTC1	15	35080297	35088340	rs2917627	3.897E-08
RPP30	10	92631473	92668312	rs61857878	5.242E-09
TCHP	12	110338069	110421646	rs4766428	3.584E-17
MOB3A	19	2071037	2096672	rs144821294	1.448E-08
TBX6	16	30097114	30103208	rs3814883	2.791E-16
CTNND1	11	57520715	57587018	rs7938083	1.041E-10
ARL5B	10	18948334	18970568	rs6482437	2.729E-16
RPS27	1	153963235	153964626	rs10127983	1.18E-08
CCDC39	3	180320646	180588793	rs7647398	1.074E-17
CCDC36	3	49235861	49295537	rs2710323	6.552E-21
CHMP1A	16	89710839	89724253	rs11076631	7.285E-10
GAS8	16	90086037	90111383	rs11076631	7.285E-10
NT5DC2	3	52558386	52569070	rs2710323	6.552E-21
PRRT2	16	29823177	29827201	rs3814883	2.791E-16
ZNF408	11	46722368	46727462	rs12285419	1.071E-16
GATAD2A	19	19496635	19619740	rs1858999	2.982E-15
CCDC85B	11	65657875	65659105	rs58950470	1.604E-09
HYI	1	43916824	43919660	rs11210892	1.415E-16
DIP2B	12	50898768	51142450	rs578470	4.537E-09
AL031320.1	6	143759575	143764295	rs9390083	1.247E-08
CORO1A	16	30194148	30200397	rs3814883	2.791E-16
MYLPF	16	30382255	30389312	rs3814883	2.791E-16
PDE6B	4	619373	664571	rs35734242	2.226E-09
NUP188	9	131709978	131769375	rs6478858	2.473E-08
VPS33A	12	122714111	122751068	rs143116451	1.442E-09
PRDM7	16	90122974	90158480	rs11076631	7.285E-10
GLT8D2	12	104382762	104457961	rs10861176	3.453E-09
GLT8D1	3	52728505	52740048	rs2710323	6.552E-21
STAC3	12	57637236	57644976	rs61937595	3.074E-15
CHADL	22	41625517	41636938	rs5751191	2.181E-14
TP53BP1	15	43699407	43802926	rs2929278	1.592E-12
ZNF804A	2	185463093	185804219	rs11693094	1.385E-14
PCDHA2	5	140174444	140391929	rs10069930	1.726E-10
PCDHA3	5	140180783	140391929	rs10069930	1.726E-10
PCDHA1	5	140165876	140391929	rs10069930	1.726E-10
PCDHA6	5	140207563	140391929	rs10069930	1.726E-10
PCDHA7	5	140213969	140391929	rs10069930	1.726E-10
PCDHA4	5	140186659	140391929	rs10069930	1.726E-10
PCDHA5	5	140201222	140391929	rs10069930	1.726E-10
PCDHA8	5	140220907	140391929	rs10069930	1.726E-10
PCDHA9	5	140227048	140391929	rs10069930	1.726E-10
DRD2	11	113280318	113346413	rs2514218	1.374E-16
BCL9	1	147013182	147098017	rs61838369	3.581E-08
EPM2AIP1	3	37027357	37034795	rs75968099	3.045E-12
ADPRHL2	1	36554476	36559533	rs581459	1.48E-09
PLK2	5	57749809	57756087	rs39967	9.944E-10
DOLPP1	9	131843379	131852717	rs6478858	2.473E-08
CACNA2D2	3	50400233	50541675	rs2710323	6.552E-21
AKT3	1	243651535	244014381	rs61833239	5.941E-12
RASSF1	3	50367219	50378411	rs2710323	6.552E-21
CAPNS1	19	36630477	36641255	rs3810450	2.294E-09
L3HYPDH	14	59927081	59951148	rs113239787	3.777E-08
NOSIP	19	50058968	50093519	rs2304205	3.469E-15
ACP2	11	47260853	47270457	rs12285419	1.071E-16
BRINP2	1	177140633	177251558	rs16851048	2.002E-12
SIAE	11	124503009	124565603	rs1940171	1.624E-12
LRRC37A	17	44370099	44415160	rs2532240	8.299E-11
OASL	12	121458095	121477045	rs2649999	5.23E-10
ADAMTSL4-AS1	1	150533480	150533969	rs12138231	1.809E-09
KLHL2	4	166128770	166244308	rs7699241	2.114E-08
C12orf40	12	40019969	40302102	rs1463209	4.988E-10
C12orf43	12	121440225	121454305	rs2649999	5.23E-10
C12orf42	12	103631369	103889749	rs7133857	2.768E-08
GPR25	1	200842083	200843306	rs12126806	2.838E-08
PCGF3	4	699537	764428	rs35734242	2.226E-09
OR9Q1	11	57791353	57949088	rs7938083	1.041E-10
PCGF6	10	105062553	105110891	rs79668541	2.389E-24
HYAL3	3	50330262	50336899	rs2710323	6.552E-21
HYAL2	3	50355221	50360337	rs2710323	6.552E-21
HYAL1	3	50337320	50349812	rs2710323	6.552E-21
UBD	6	29523292	29527702	rs13195636	2.901E-41
ATP8B2	1	154298029	154323783	rs10127983	1.18E-08
LACE1	6	108616098	108847999	rs2153960	4.111E-10
AC140061.12	12	50690489	50691718	rs578470	4.537E-09
HIRIP3	16	30003645	30007757	rs3814883	2.791E-16
ASPHD1	16	29911696	29931185	rs3814883	2.791E-16
C22orf46	22	42084943	42094140	rs5751191	2.181E-14
SPRYD3	12	53458388	53473204	rs61928076	4.227E-08
ST13	22	41220539	41253026	rs5751191	2.181E-14
NPRL2	3	50384761	50388522	rs2710323	6.552E-21
AMH	19	2249308	2252072	rs144821294	1.448E-08
PLXNB1	3	48445261	48471594	rs2710323	6.552E-21
NKAPL	6	28227098	28228736	rs13195636	2.901E-41
HDDC3	15	91474148	91475799	rs4702	1.373E-24
ZBTB39	12	57392618	57400230	rs61937595	3.074E-15
PCBP4	3	51991470	52002426	rs2710323	6.552E-21
L3MBTL2	22	41601209	41627275	rs5751191	2.181E-14
PCBP2	12	53835525	53874946	rs61928076	4.227E-08
LHFPL3	7	103969104	104549001	rs2252074	1.579E-14
AMT	3	49454211	49460186	rs2710323	6.552E-21
ZBTB37	1	173837220	173872687	rs61828917	8.413E-10
SPATA19	11	133710526	133715433	rs4936215	4.156E-15
EFEMP2	11	65633912	65641063	rs58950470	1.604E-09
PLEC	8	144989321	145050902	rs11136325	1.992E-09
SEZ6L2	16	29882480	29910868	rs3814883	2.791E-16
TRIM40	6	30103885	30116512	rs13195636	2.901E-41
FAM57B	16	30035748	30064299	rs3814883	2.791E-16
FSD2	15	83424114	83474822	rs4779050	5.036E-09
RBM26	13	79885962	79980612	rs9545047	8.523E-13
CPLX1	4	778745	819986	rs35734242	2.226E-09
ESAM	11	124622026	124632186	rs1940171	1.624E-12
SPOCK3	4	167654535	168155947	rs1593769	3.384E-08
BTN3A2	6	26365387	26378546	rs13195636	2.901E-41
BTN3A3	6	26440700	26453643	rs13195636	2.901E-41
ACE	17	61562184	61599209	rs6504163	8.246E-10
BTN3A1	6	26402465	26415444	rs13195636	2.901E-41
SLC32A1	20	37353105	37358015	rs6065094	5.725E-16
ACR	22	51176624	51183762	rs6010045	1.418E-08
ATP5I	4	666225	668127	rs35734242	2.226E-09
ME1	6	83920108	84140797	rs2022265	2.357E-10
LSMEM2	3	50316458	50325545	rs2710323	6.552E-21
HFE	6	26087509	26098571	rs13195636	2.901E-41
GNAI1	7	79763271	79848718	rs1589726	3.45E-09
ZNF740	12	53574484	53584596	rs61928076	4.227E-08
TBC1D2	9	100961311	101017915	rs10985811	3.178E-09
OR4S1	11	48327775	48328704	rs12285419	1.071E-16
MRPS30	5	44809027	44820530	rs10035564	7.913E-16
BOLA2B	16	30204255	30205627	rs3814883	2.791E-16
PFDN1	5	139624624	139682706	rs10069930	1.726E-10
PFDN5	12	53689075	53693234	rs61928076	4.227E-08
DPH1	17	1933404	1946724	rs12943566	1.401E-11
PHF21A	11	45950871	46142985	rs12285419	1.071E-16
CYP7B1	8	65500320	65711318	rs10957321	2.862E-10
CCDC68	18	52568740	52626739	rs9636107	6.216E-14
ELL3	15	44064798	44069741	rs2929278	1.592E-12
KCNB1	20	47980414	48099184	rs11696755	1.692E-10
SYNE4	19	36494209	36499695	rs3810450	2.294E-09
TNFRSF13C	22	42321045	42322822	rs5751191	2.181E-14
WSCD2	12	108523248	108644314	rs3764002	2.483E-09
SEMA3G	3	52467069	52479101	rs2710323	6.552E-21
SEMA3F	3	50192478	50226508	rs2710323	6.552E-21
CLTA	9	36190853	36304778	rs2381411	1.961E-09
RPS11	19	49999622	50002946	rs2304205	3.469E-15
RPS17	15	82821158	82824972	rs4779050	5.036E-09
RP11-793H13.10	12	53900472	54019763	rs61928076	4.227E-08
ARL3	10	104433488	104474164	rs79668541	2.389E-24
CCDC25	8	27590835	27630170	rs73229090	3.146E-13
CCDC24	1	44457031	44462200	rs11210892	1.415E-16
BCL11B	14	99635624	99737861	rs1540840	1.744E-09
TSR1	17	2225797	2240801	rs12943566	1.401E-11
BHLHE22	8	65492814	65496181	rs10957321	2.862E-10
DPEP1	16	89679716	89704839	rs11076631	7.285E-10
WHAMM	15	83478380	83503611	rs4779050	5.036E-09
KCNJ13	2	233631174	233641278	rs778371	3.759E-18
RFXANK	19	19303008	19312678	rs1858999	2.982E-15
SSSCA1	11	65337901	65341413	rs58950470	1.604E-09
MAP7D1	1	36621180	36646450	rs581459	1.48E-09
TMX2	11	57480072	57508445	rs7938083	1.041E-10
FAM96B	16	66965959	66968326	rs77463171	8.688E-09
RASA1	5	86563705	86687748	rs115325222	1.746E-09
CLP1	11	57416465	57429340	rs7938083	1.041E-10
C1QTNF4	11	47611216	47616211	rs12285419	1.071E-16
PTPRF	1	43990858	44089343	rs11210892	1.415E-16
CREB3L1	11	46299212	46342972	rs12285419	1.071E-16
PAGR1	16	29827832	29831438	rs3814883	2.791E-16
CREB3L4	1	153940010	153946839	rs10127983	1.18E-08
OR2B2	6	27878963	27880174	rs13195636	2.901E-41
OR2B3	6	29053985	29055090	rs13195636	2.901E-41
PTPRK	6	128289924	128841870	rs13219424	4.535E-08
PTPRJ	11	48002113	48189670	rs12285419	1.071E-16
OR2B6	6	27925019	27925960	rs13195636	2.901E-41
CPE	4	166282346	166419472	rs7699241	2.114E-08
MFAP4	17	19286755	19290553	rs4073003	2.651E-12
GPM6A	4	176554085	176923815	rs41533650	1.137E-14
MFAP1	15	44096690	44117000	rs2929278	1.592E-12
CDC42SE1	1	151023447	151042801	rs12138231	1.809E-09
MANF	3	51422478	51426828	rs2710323	6.552E-21
BANK1	4	102332443	102995969	rs13107325	4.671E-23
SLC6A9	1	44457172	44497139	rs11210892	1.415E-16
DOC2A	16	30016830	30034591	rs3814883	2.791E-16
WDR6	3	49044495	49053386	rs2710323	6.552E-21
DKFZP761J1410	19	11466062	11476374	rs322128	2.606E-09
SMARCD1	12	50478755	50494495	rs578470	4.537E-09
PRR12	19	50094900	50129696	rs2304205	3.469E-15
C11orf49	11	46958240	47185936	rs12285419	1.071E-16
HMGN4	6	26538633	26546482	rs13195636	2.901E-41
RP11-552I14.1	12	103545620	103562087	rs7133857	2.768E-08
TBCB	19	36605191	36616849	rs3810450	2.294E-09
RC3H1	1	173900352	173991435	rs61828917	8.413E-10
SFXN5	2	73169165	73302747	rs999494	0.000000015
SFXN2	10	104474295	104503249	rs79668541	2.389E-24
GABBR1	6	29523406	29601753	rs13195636	2.901E-41
GABBR2	9	101050391	101471479	rs10985811	3.178E-09
EMX1	2	73143389	73162020	rs999494	0.000000015
PANK4	1	2439972	2458039	rs6673880	1.503E-12
EPPK1	8	144939497	144952632	rs11136325	1.992E-09
EFTUD1	15	82422571	82555104	rs4779050	5.036E-09
TIMM10	11	57295936	57298276	rs7938083	1.041E-10
ARIH2OS	3	48955221	48956818	rs2710323	6.552E-21
OPCML	11	132284871	133402414	rs1939514	1.792E-13
SNX32	11	65601112	65624367	rs58950470	1.604E-09
AC139100.2	18	77905807	77936315	rs72980087	1.015E-16
HEATR5B	2	37195526	37311485	rs3770752	1.952E-11
RPRD2	1	150335567	150449042	rs12138231	1.809E-09
UBALD1	16	4658884	4665028	rs8048039	1.05E-08
TMX2-CTNND1	11	57480077	57559058	rs7938083	1.041E-10
ZDHHC2	8	17013538	17082308	rs7845103	3.253E-08
ZDHHC5	11	57435219	57468659	rs7938083	1.041E-10
CCBL1	9	131595221	131644773	rs6478858	2.473E-08
GPX1	3	49394609	49396033	rs2710323	6.552E-21
SLC22A7	6	43263432	43273276	rs113113059	1.306E-11
GPX5	6	28493702	28502729	rs13195636	2.901E-41
GPX6	6	28471073	28495992	rs13195636	2.901E-41
AC018512.1	15	44075041	44075231	rs2929278	1.592E-12
PRKD3	2	37477645	37551951	rs3770752	1.952E-11
CRIP3	6	43267448	43276535	rs113113059	1.306E-11
TMEM89	3	48658192	48659288	rs2710323	6.552E-21
KLHL21	1	6650784	6674667	rs11122119	8.494E-09
KLHL20	1	173684080	173755840	rs61828917	8.413E-10
GIGYF2	2	233562009	233725285	rs778371	3.759E-18
LETM2	8	38243725	38267045	rs7816998	6.229E-10
POLG	15	89859534	89878092	rs2238304	8.131E-11
TAF12	1	28915835	28969597	rs61786047	2.458E-08
NUDT16L1	16	4743695	4745860	rs8048039	1.05E-08
TRIM54	2	27505260	27530307	rs12474906	1.155E-08
SLC4A9	5	139739787	139754728	rs10069930	1.726E-10
MDK	11	46402306	46405375	rs12285419	1.071E-16
ASPG	14	104552016	104579098	rs10873538	1.702E-14
HIC1	17	1957448	1962981	rs12943566	1.401E-11
FAM186A	12	50720013	50790405	rs578470	4.537E-09
SERF2	15	44069285	44094787	rs2929278	1.592E-12
C2orf16	2	27799389	27805588	rs12474906	1.155E-08
MVP	16	29831715	29859355	rs3814883	2.791E-16
NAT8	2	73867959	73869520	rs6546857	5.58E-09
SPATS2L	2	201170604	201346986	rs1658810	1.388E-16
PLCL2	3	16844159	17132086	rs6577597	9.065E-11
NAT6	3	50333833	50336852	rs2710323	6.552E-21
PLCL1	2	198669426	199437305	rs2914983	2.058E-14
AL356356.1	1	150521897	150524367	rs12138231	1.809E-09
GRAMD1B	11	123396344	123498482	rs77502336	2.558E-11
F2	11	46740730	46761056	rs12285419	1.071E-16
POC1B-GALNT4	12	89913185	89920039	rs10777187	2.594E-08
KRTCAP3	2	27665233	27669348	rs12474906	1.155E-08
MARS	12	57869228	57911352	rs61937595	3.074E-15
RFT1	3	53122499	53164478	rs2710323	6.552E-21
FAM89B	11	65339820	65341669	rs58950470	1.604E-09
TUBGCP4	15	43661419	43699293	rs2929278	1.592E-12
HARBI1	11	46624411	46639459	rs12285419	1.071E-16
COX5B	2	98262503	98264846	rs7575796	2.921E-08
MC1R	16	89978527	89987385	rs11076631	7.285E-10
PSMD6	3	63996225	64009658	rs704364	7.071E-10
RP11-368I7.4	16	89749028	89752977	rs11076631	7.285E-10
ZNF14	19	19821280	19843906	rs1858999	2.982E-15
MAD1L1	7	1855429	2272878	rs58120505	2.838E-27
RP11-691N7.6	11	57509635	57560715	rs7938083	1.041E-10
CNOT1	16	58553855	58663790	rs154433	3.352E-08
CNOT7	8	17086737	17104387	rs7845103	3.253E-08
PRMT1	19	50179043	50192286	rs2304205	3.469E-15
LTBP3	11	65306276	65326401	rs58950470	1.604E-09
ARIH2	3	48956254	49023815	rs2710323	6.552E-21
ITGB7	12	53585102	53601091	rs61928076	4.227E-08
RTN1	14	60062694	60337684	rs113239787	3.777E-08
SUFU	10	104263744	104393292	rs79668541	2.389E-24
CRAT	9	131857089	131873468	rs6478858	2.473E-08
NMUR2	5	151771093	151812929	rs10515678	2.694E-13
CTD-2117L12.1	5	57837394	57854070	rs39967	9.944E-10
NCK1	3	136581050	136668665	rs7432375	1.837E-14
SPIRE2	16	89884587	89937727	rs11076631	7.285E-10
CES4A	16	67022492	67043661	rs77463171	8.688E-09
ZNF391	6	27342394	27371683	rs13195636	2.901E-41
CYB561D2	3	50388126	50395891	rs2710323	6.552E-21
CMTM4	16	66648653	66730610	rs77463171	8.688E-09
TSPAN16	19	11406824	11437672	rs322128	2.606E-09
SLC25A17	22	41165634	41215403	rs5751191	2.181E-14
NDUFA12	12	95290831	95397546	rs6538539	1.333E-10
NDUFA13	19	19626545	19644285	rs1858999	2.982E-15
NCKIPSD	3	48701364	48723797	rs2710323	6.552E-21
MCHR1	22	41074754	41078818	rs5751191	2.181E-14
SCAND3	6	28539407	28583989	rs13195636	2.901E-41
TEX264	3	51696709	51738339	rs2710323	6.552E-21
FCGRT	19	50010073	50029590	rs2304205	3.469E-15
RP11-795F19.5	18	77794346	77854968	rs72980087	1.015E-16
DBF4	7	87505531	87538856	rs13233308	3.794E-08
VIT	2	36923833	37041935	rs3770752	1.952E-11
TCTA	3	49449639	49453908	rs2710323	6.552E-21
STAR	8	38001167	38008783	rs7816998	6.229E-10
SNX8	7	2291405	2393953	rs58120505	2.838E-27
VSIG2	11	124617368	124622134	rs1940171	1.624E-12
KIAA1324L	7	86506222	86689015	rs6943762	1.828E-16
CCDC122	13	44398045	44453827	rs11619756	1.155E-09
CCDC121	2	27848506	27851879	rs12474906	1.155E-08
FTSJ2	7	2273866	2281840	rs58120505	2.838E-27
MKL1	22	40806285	41032706	rs5751191	2.181E-14
ITPKB	1	226819391	226927024	rs41314284	2.544E-08
GCC1	7	127220672	127233665	rs35045093	2.021E-08
RAD54L2	3	51575160	51702683	rs2710323	6.552E-21
JAM3	11	133938820	134021896	rs4936215	4.156E-15
STH	17	44076616	44077060	rs2532240	8.299E-11
MLLT11	1	151030234	151040970	rs12138231	1.809E-09
GALNT4	12	89913185	89920039	rs10777187	2.594E-08
EIF4B	12	53399942	53435993	rs61928076	4.227E-08
IRF3	19	50162826	50169132	rs2304205	3.469E-15
RNASEH2C	11	65482367	65488418	rs58950470	1.604E-09
FAM103A1	15	83654959	83659809	rs4779050	5.036E-09
TMEM161B	5	87485450	87565293	rs115325222	1.746E-09
ITIH1	3	52811603	52826078	rs2710323	6.552E-21
ITIH3	3	52828784	52843025	rs2710323	6.552E-21
ITIH4	3	52846991	52865495	rs2710323	6.552E-21
DOCK3	3	50712672	51421629	rs2710323	6.552E-21
RAB13	1	153954127	153958834	rs10127983	1.18E-08
PTPRD	9	8314246	10612723	rs2890914	1.238E-08
ATP6V0B	1	44440159	44443967	rs11210892	1.415E-16
SPATA33	16	89724210	89737680	rs11076631	7.285E-10
GMPPB	3	49754277	49761384	rs2710323	6.552E-21
CENPM	22	42334725	42343168	rs5751191	2.181E-14
C3orf62	3	49306035	49315342	rs2710323	6.552E-21
SND1	7	127292234	127732661	rs35045093	2.021E-08
JOSD2	19	51009255	51014610	rs2387414	2.048E-10
OR4C5	11	48387037	48388017	rs12285419	1.071E-16
NPFF	12	53900474	53901422	rs61928076	4.227E-08
OR4C3	11	48346472	48347507	rs12285419	1.071E-16
ERCC8	5	60169658	60240900	rs7701440	1.696E-17
HVCN1	12	111065646	111142755	rs4766428	3.584E-17
USP4	3	49315264	49378145	rs2710323	6.552E-21
MRPS14	1	174979925	174992561	rs61828917	8.413E-10
RNF38	9	36336393	36487545	rs2381411	1.961E-09
RNF39	6	30038043	30043664	rs13195636	2.901E-41
TSKS	19	50243010	50266587	rs2304205	3.469E-15
HSPE1-MOB4	2	198365137	198415450	rs2914983	2.058E-14
PRR3	6	30524663	30531500	rs13195636	2.901E-41
ABCB1	7	87133175	87342611	rs13233308	3.794E-08
ABCB4	7	87031013	87109751	rs13233308	3.794E-08
MED18	1	28655513	28662476	rs61786047	2.458E-08
MED19	11	57471186	57479693	rs7938083	1.041E-10
ABCB9	12	123405498	123466196	rs2102949	3.34E-23
HEMK1	3	50606583	50622366	rs2710323	6.552E-21
INTS3	1	153700543	153746555	rs10127983	1.18E-08
ZC3H7B	22	41697526	41756151	rs5751191	2.181E-14
MFSD5	12	53645035	53648189	rs61928076	4.227E-08
LSM1	8	38020839	38034248	rs7816998	6.229E-10
MFSD7	4	675618	683230	rs35734242	2.226E-09
ABHD14B	3	52002526	52017425	rs2710323	6.552E-21
CTNNA1	5	137946656	138270723	rs10117	7.359E-12
BAI3	6	69345259	70099403	rs9454727	2.586E-08
PHGR1	15	40643234	40648635	rs56205728	1.247E-11
NCDN	1	36023074	36032875	rs581459	1.48E-09
NISCH	3	52489134	52527087	rs2710323	6.552E-21
MLEC	12	121124672	121139667	rs2649999	5.23E-10
AC011366.3	5	109218883	109220452	rs35164357	3.934E-11
MYL5	4	667369	675822	rs35734242	2.226E-09
MYL2	12	111348623	111358526	rs4766428	3.584E-17
SLC30A3	2	27476552	27498685	rs12474906	1.155E-08
FURIN	15	91411822	91426688	rs4702	1.373E-24
SLC35G2	3	136537489	136574734	rs7432375	1.837E-14
ASPDH	19	51014857	51017947	rs2387414	2.048E-10
CERS5	12	50523575	50561288	rs578470	4.537E-09
CERS2	1	150933059	150947479	rs12138231	1.809E-09
POC1A	3	52109269	52188706	rs2710323	6.552E-21
POC1B	12	89813495	89919801	rs10777187	2.594E-08
